secc;pnc;rbs
3907501001;29;1
3907501002;11;0
3907501003;21;0
3907501004;9;1
3907501005;10;1
3907501006;10;0
3907501007;13;0
3907501008;15;1
3907501009;52;1
3907501010;9;0
3907502001;8;0
3907502002;8;0
3907502003;14;0
3907502004;16;0
3907502005;15;0
3907502006;8;0
3907502007;9;1
3907502008;14;0
3907502009;14;0
3907502010;6;1
3907502011;4;0
3907502012;17;0
3907502013;12;0
3907502014;7;0
3907502015;5;0
3907502016;4;0
3907502017;9;0
3907502018;28;1
3907502019;25;1
3907502020;7;0
3907502021;9;0
3907502022;7;1
3907502023;102;4
3907502025;4;0
3907502026;12;1
3907503001;31;1
3907503002;19;1
3907503003;20;0
3907503004;18;0
3907503005;24;0
3907503006;12;0
3907503007;16;0
3907503008;16;0
3907503009;25;0
3907503010;13;0
3907503011;12;0
3907503012;5;0
3907503013;7;1
3907503014;13;0
3907503015;11;0
3907504001;9;0
3907504002;5;0
3907504003;13;0
3907504004;12;0
3907504005;12;0
3907504006;17;1
3907504007;4;0
3907504008;13;0
3907504009;7;0
3907504010;13;0
3907504011;10;0
3907504013;3;0
3907504014;29;0
3907505001;10;0
3907505002;12;0
3907505003;17;0
3907505004;23;0
3907505005;9;0
3907505006;12;0
3907505007;17;0
3907505008;62;0
3907505009;11;0
3907505010;11;0
3907505011;19;0
3907505012;15;0
3907505013;11;0
3907505014;13;0
3907505015;12;0
3907506001;17;2
3907506002;22;0
3907506003;11;0
3907506004;19;0
3907506005;13;0
3907506006;20;0
3907506007;15;0
3907506008;31;0
3907506009;13;0
3907506010;23;0
3907506011;15;0
3907506012;19;0
3907506013;3;0
3907506014;17;0
3907507001;12;0
3907507002;10;1
3907507003;11;0
3907507004;21;0
3907507005;16;1
3907507006;10;0
3907507007;9;1
3907507008;19;0
3907507009;14;0
3907507010;9;0
3907507011;14;0
3907507012;4;0
3907507013;31;2
3907507014;22;0
3907507016;15;1
3907507017;8;0
3907507018;12;0
3907507020;12;0
3907507022;3;0
3907507023;6;0
3907508002;13;0
3907508003;4;0
3907508004;94;0
3907508005;41;1
3907508006;12;0
3907508008;38;0
3907508010;173;3
3907508013;14;1
3907508015;26;1
3907508016;11;0
3907508020;8;0
3907508021;12;1
