ano;ciudad;dist;scensal;edad0;edad1;edad2;edad3;edad4;edad5;edad6;edad7;edad8;edad9;edad10;edad11;edad12;edad13;edad14;edad15;edad16;edad17;edad18;edad19;edad99;seccion;seccion_cluster
2000;39075;01;001;2;10;16;12;14;33;41;47;40;39;21;17;22;20;18;23;20;14;5;2;;3907501001;3907501001
2000;39075;01;002;1;7;21;22;17;27;32;39;32;28;30;35;22;20;17;17;28;7;6;;;3907501002;3907501002
2000;39075;01;003;4;10;17;10;10;17;35;37;30;33;23;19;23;22;35;26;19;12;9;1;;3907501003;3907501003
2000;39075;01;004;2;9;14;16;9;21;31;30;33;31;37;24;19;14;18;24;23;24;9;4;;3907501004;3907501004
2000;39075;01;005;2;10;17;21;17;30;29;43;35;29;26;26;22;23;28;26;21;15;10;;;3907501005;3907501005
2000;39075;01;006;3;22;29;28;32;37;37;37;39;56;40;25;22;17;27;33;21;13;6;1;;3907501006;3907501006
2000;39075;01;007;7;16;16;21;26;45;47;58;44;42;44;41;22;29;28;31;20;6;3;2;;3907501007;3907501007
2000;39075;01;008;1;11;26;22;32;52;40;38;38;46;45;39;27;22;25;26;20;19;7;6;;3907501008;3907501008
2000;39075;01;009;3;14;25;29;52;57;55;64;57;50;38;52;24;33;38;38;30;14;14;3;;3907501009;1
2000;39075;01;010;2;15;15;19;34;33;35;30;36;29;25;18;16;22;19;18;9;12;5;2;;3907501010;3907501010
2000;39075;02;001;1;8;10;16;41;47;73;28;17;25;27;54;34;34;21;16;13;2;2;;;3907502001;3907502001
2000;39075;02;002;1;10;25;20;36;26;39;34;39;37;25;25;18;22;28;22;21;7;6;3;;3907502002;3907502002
2000;39075;02;003;6;20;31;34;52;56;64;44;47;44;49;35;36;25;29;28;19;18;10;1;;3907502003;3907502003
2000;39075;02;004;2;7;16;24;41;40;58;28;46;34;41;30;30;21;23;27;22;18;11;3;;3907502004;3907502004
2000;39075;02;005;6;24;32;41;48;76;74;48;54;53;50;55;44;37;40;40;28;17;7;3;;3907502005;3907502005
2000;39075;02;006;3;11;16;45;59;61;56;47;43;51;49;62;43;30;52;19;25;15;10;2;;3907502006;3907502006
2000;39075;02;007;2;10;18;25;32;39;43;25;16;33;29;34;28;24;26;26;17;10;5;2;;3907502007;3907502007
2000;39075;02;008;3;10;26;25;37;39;28;30;48;54;30;31;23;10;25;45;48;26;18;3;;3907502008;3907502008
2000;39075;02;009;2;7;17;18;29;32;35;35;43;31;22;27;15;18;27;29;30;18;8;2;;3907502009;3907502009
2000;39075;02;010;1;16;22;29;42;76;68;47;36;29;35;52;44;30;29;35;18;19;9;2;;3907502010;3907502010
2000;39075;02;011;1;9;14;17;21;32;33;36;26;25;26;22;25;23;36;30;23;10;10;3;;3907502011;3907502011
2000;39075;02;012;3;12;12;20;20;34;37;45;41;27;33;26;18;38;41;31;26;15;8;5;;3907502012;3907502012
2000;39075;02;013;3;9;25;33;47;57;66;52;50;48;46;51;40;29;45;35;35;14;10;2;;3907502013;3907502013
2000;39075;02;014;8;26;37;61;109;98;93;47;38;101;95;75;59;41;42;25;21;20;25;16;;3907502014;2
2000;39075;02;015;2;14;12;13;14;32;34;24;27;26;21;21;27;21;25;27;16;10;7;1;;3907502015;3907502015
2000;39075;02;016;1;9;14;17;36;48;52;42;26;34;30;37;34;23;25;25;12;4;10;5;;3907502016;3907502016
2000;39075;02;017;8;16;23;40;67;79;68;49;48;37;50;65;52;37;31;33;32;11;6;3;;3907502017;3907502017
2000;39075;02;018;9;32;57;77;91;126;78;51;70;77;83;73;50;42;25;19;19;8;2;;;3907502018;3907502018
2000;39075;02;019;2;27;47;65;107;121;83;73;62;95;83;51;46;32;25;18;9;3;2;;;3907502019;3907502019
2000;39075;02;020;5;12;13;11;25;33;40;36;29;19;23;26;19;28;24;20;9;5;7;;;3907502020;3907502020
2000;39075;02;021;2;11;16;12;25;58;53;49;37;36;20;36;40;39;34;24;22;11;3;3;;3907502021;3907502021
2000;39075;02;022;3;17;14;20;28;29;28;30;28;31;28;27;16;29;20;17;13;8;8;;;3907502022;3907502022
2000;39075;02;023;20;63;91;122;216;260;205;126;123;189;160;112;79;63;66;45;36;10;9;2;;3907502023;3
2000;39075;02;025;2;6;3;13;19;20;33;40;20;18;21;19;14;12;22;33;13;7;4;4;;3907502025;3907502025
2000;39075;02;026;4;9;22;23;22;46;47;36;43;32;35;33;31;27;44;25;24;7;8;2;;3907502026;3907502026
2000;39075;03;001;4;23;28;33;59;54;64;53;53;59;51;46;39;37;37;30;24;11;4;2;;3907503001;3907503001
2000;39075;03;002;3;14;33;27;35;61;53;35;57;43;50;41;31;14;32;27;32;20;10;4;;3907503002;3907503002
2000;39075;03;003;;13;16;17;23;37;39;55;44;37;33;30;14;23;24;12;23;8;3;2;;3907503003;3907503003
2000;39075;03;004;4;11;19;27;39;43;33;33;42;46;42;18;29;23;23;38;36;25;7;4;;3907503004;3907503004
2000;39075;03;005;4;22;23;21;34;43;40;46;36;42;30;34;14;20;17;21;17;9;2;1;;3907503005;3907503005
2000;39075;03;006;3;16;19;33;29;36;41;53;43;34;28;26;26;28;31;17;16;13;7;1;;3907503006;3907503006
2000;39075;03;007;;9;25;29;30;42;35;34;40;47;27;19;20;20;23;18;15;8;5;2;;3907503007;3907503007
2000;39075;03;008;4;7;18;18;44;68;59;45;39;39;27;41;47;35;36;40;25;7;6;1;;3907503008;3907503008
2000;39075;03;009;6;18;31;31;30;37;48;52;56;52;37;28;33;27;24;28;28;15;8;4;;3907503009;3907503009
2000;39075;03;010;5;16;17;21;39;58;56;55;45;50;37;36;25;30;40;22;23;19;4;1;;3907503010;3907503010
2000;39075;03;011;9;17;34;52;86;93;70;51;36;68;86;69;73;43;39;21;21;11;6;2;;3907503011;3907503011
2000;39075;03;012;1;13;12;19;20;19;19;17;26;26;29;17;15;16;14;10;13;14;3;1;;3907503012;3907503012
2000;39075;03;013;5;6;18;16;50;35;48;29;42;43;31;34;24;21;22;23;26;10;4;2;;3907503013;3907503013
2000;39075;03;014;3;15;17;22;23;37;28;47;36;27;31;25;15;24;27;28;12;7;;3;;3907503014;3907503014
2000;39075;03;015;3;16;25;24;28;29;38;37;34;38;32;22;23;25;18;23;12;12;6;1;;3907503015;3907503015
2000;39075;04;001;5;20;20;24;28;29;35;27;43;38;37;31;25;25;25;18;11;7;7;2;;3907504001;3907504001
2000;39075;04;002;2;7;23;31;32;39;52;36;50;39;38;38;31;24;23;27;10;18;12;2;;3907504002;3907504002
2000;39075;04;003;3;10;23;26;24;51;38;35;40;39;41;43;26;23;29;26;18;15;7;4;;3907504003;3907504003
2000;39075;04;004;6;9;26;30;46;70;58;53;51;47;43;42;33;31;34;45;28;22;7;6;;3907504004;3907504004
2000;39075;04;005;2;15;29;51;68;91;89;56;59;46;63;64;52;37;55;45;34;14;7;2;;3907504005;3907504005
2000;39075;04;006;5;23;29;40;49;66;54;68;63;54;48;56;40;34;41;30;22;15;9;1;;3907504006;3907504006
2000;39075;04;007;6;5;19;31;35;60;40;35;55;29;45;28;21;25;32;28;18;13;4;1;;3907504007;3907504007
2000;39075;04;008;2;23;25;24;40;47;45;39;42;46;37;39;32;24;37;17;20;10;12;5;;3907504008;3907504008
2000;39075;04;009;7;31;24;46;57;68;87;65;56;55;52;42;48;48;51;38;26;14;9;1;;3907504009;3907504009
2000;39075;04;010;7;46;48;57;80;130;133;116;79;75;61;101;66;61;75;48;30;19;8;5;;3907504010;4
2000;39075;04;011;4;19;28;30;44;44;57;34;32;33;34;44;42;29;30;21;17;10;9;1;;3907504011;3907504011
2000;39075;04;013;6;16;29;30;59;48;80;43;35;37;26;46;32;35;38;34;23;10;5;2;;3907504013;3907504013
2000;39075;04;014;4;39;74;59;81;139;132;98;92;92;81;98;73;66;54;55;33;18;2;1;;3907504014;5
2000;39075;05;001;3;11;13;11;14;29;30;32;51;37;20;22;27;18;20;28;32;10;7;4;;3907505001;3907505001
2000;39075;05;002;5;7;15;21;34;34;57;59;52;42;36;29;23;28;26;39;28;17;9;2;;3907505002;3907505002
2000;39075;05;003;4;19;16;30;41;57;49;50;52;46;48;39;43;31;39;41;30;15;8;2;;3907505003;3907505003
2000;39075;05;004;9;32;41;31;47;76;66;65;66;76;50;46;51;45;53;44;35;15;4;4;;3907505004;3907505004
2000;39075;05;005;2;17;12;25;34;46;51;46;33;34;35;33;25;33;38;25;15;13;4;;;3907505005;3907505005
2000;39075;05;006;3;22;24;29;62;60;62;48;42;56;40;46;38;37;34;30;17;13;2;4;;3907505006;3907505006
2000;39075;05;007;4;10;20;25;31;32;51;42;38;31;27;32;24;25;30;17;15;7;1;2;;3907505007;3907505007
2000;39075;05;008;16;74;95;80;122;139;161;146;163;154;144;111;83;84;90;98;49;22;9;4;;3907505008;6
2000;39075;05;009;6;11;21;29;31;35;59;33;44;23;30;30;25;21;20;22;11;5;2;;;3907505009;3907505009
2000;39075;05;010;;16;27;35;55;85;66;47;54;45;70;59;53;35;31;26;15;9;9;2;;3907505010;3907505010
2000;39075;05;011;5;17;23;33;58;77;87;64;48;58;48;61;62;46;46;30;33;11;2;4;;3907505011;3907505011
2000;39075;05;012;4;25;32;45;59;97;84;58;73;57;68;80;45;34;49;32;24;10;5;;;3907505012;3907505012
2000;39075;05;013;3;28;28;32;29;46;60;52;53;60;41;38;35;32;41;27;26;9;9;1;;3907505013;3907505013
2000;39075;05;014;3;20;33;46;47;54;42;37;55;71;58;46;31;24;40;34;31;12;8;1;;3907505014;3907505014
2000;39075;05;015;2;18;18;21;28;33;52;44;33;34;18;37;26;24;22;20;10;10;2;;;3907505015;3907505015
2000;39075;06;001;3;12;26;30;34;65;56;47;36;47;35;43;22;27;41;44;29;15;10;7;;3907506001;3907506001
2000;39075;06;002;2;17;30;39;56;76;83;79;53;61;70;57;49;44;48;37;31;21;8;2;;3907506002;3907506002
2000;39075;06;003;3;9;19;20;32;72;43;37;40;33;33;46;38;37;38;28;22;11;4;2;;3907506003;3907506003
2000;39075;06;004;3;10;25;18;26;56;57;33;35;21;43;53;22;21;19;32;17;12;5;2;;3907506004;3907506004
2000;39075;06;005;2;13;9;21;37;42;48;37;32;40;44;34;30;23;41;29;28;20;12;3;;3907506005;3907506005
2000;39075;06;006;3;15;17;35;38;24;45;35;46;54;23;36;28;28;35;26;23;10;6;5;;3907506006;3907506006
2000;39075;06;007;1;12;17;17;29;32;37;26;32;26;32;30;27;15;32;41;26;9;2;1;;3907506007;3907506007
2000;39075;06;008;2;11;16;12;18;24;28;25;17;16;19;18;14;16;16;16;7;13;7;8;;3907506008;3907506008
2000;39075;06;009;3;11;31;25;35;47;47;42;46;46;34;47;23;17;34;39;39;21;8;4;;3907506009;3907506009
2000;39075;06;010;3;10;16;8;28;56;33;38;35;37;29;30;24;16;40;41;42;10;9;3;;3907506010;3907506010
2000;39075;06;011;6;10;21;31;52;78;60;47;42;34;35;68;23;33;43;35;27;13;6;3;;3907506011;3907506011
2000;39075;06;012;4;16;18;20;37;45;47;46;32;34;34;39;28;27;31;26;22;17;5;;;3907506012;3907506012
2000;39075;06;013;5;11;19;41;62;71;52;35;28;54;56;67;44;27;26;24;19;11;1;2;;3907506013;3907506013
2000;39075;06;014;2;7;7;24;46;73;64;37;22;32;33;51;36;23;41;33;20;11;4;1;;3907506014;3907506014
2000;39075;07;001;2;13;29;25;32;40;49;50;57;45;26;24;37;36;37;36;28;8;2;;;3907507001;3907507001
2000;39075;07;002;4;18;27;59;85;85;60;40;41;82;69;70;43;38;18;26;12;6;2;;;3907507002;3907507002
2000;39075;07;003;4;16;29;31;33;41;51;55;59;42;32;33;30;30;48;55;35;9;5;3;;3907507003;3907507003
2000;39075;07;004;6;52;70;44;84;80;71;64;86;88;69;65;39;40;27;17;11;9;6;1;;3907507004;3907507004
2000;39075;07;005;11;33;60;55;72;88;87;76;83;82;75;72;64;35;49;32;19;10;4;;;3907507005;3907507005
2000;39075;07;006;3;27;42;75;69;70;43;44;47;102;62;61;35;36;25;16;14;6;7;;;3907507006;3907507006
2000;39075;07;007;3;8;17;38;39;40;31;33;33;39;33;30;27;24;17;20;12;5;1;2;;3907507007;3907507007
2000;39075;07;008;5;16;33;39;41;38;57;63;75;48;36;39;32;31;45;33;25;9;6;;;3907507008;3907507008
2000;39075;07;009;8;26;30;34;42;51;53;62;56;51;49;34;25;38;41;44;18;9;6;3;;3907507009;3907507009
2000;39075;07;010;4;17;41;79;104;79;53;26;31;124;108;56;26;12;16;9;4;3;2;1;;3907507010;3907507010
2000;39075;07;011;5;17;26;39;85;125;77;46;29;50;70;98;57;33;33;29;19;11;3;2;;3907507011;3907507011
2000;39075;07;012;4;27;50;57;72;79;71;48;43;75;68;88;25;31;23;18;11;6;2;1;;3907507012;3907507012
2000;39075;07;013;7;25;58;66;96;147;160;123;118;100;89;117;90;93;89;56;40;16;7;1;;3907507013;7
2000;39075;07;014;3;23;39;64;98;116;75;52;60;72;97;99;71;40;32;13;7;11;3;1;;3907507014;3907507014
2000;39075;07;016;5;17;37;52;81;97;63;59;47;95;86;70;35;46;28;40;23;5;4;1;;3907507016;3907507016
2000;39075;07;017;11;26;28;56;87;110;109;63;40;77;64;76;72;33;49;44;27;9;4;4;;3907507017;8
2000;39075;07;018;5;18;28;30;47;56;46;45;57;45;44;26;23;28;36;25;15;5;2;;;3907507018;3907507018
2000;39075;07;020;4;12;25;16;24;18;25;31;24;24;20;25;14;12;18;13;11;5;4;;;3907507020;3907507020
2000;39075;07;022;3;23;45;42;49;51;31;31;70;99;60;40;33;15;10;14;9;7;1;2;;3907507022;3907507022
2000;39075;07;023;5;12;19;41;53;57;37;28;44;47;61;36;19;13;15;9;6;4;4;;;3907507023;3907507023
2000;39075;08;002;3;21;36;52;79;85;65;60;60;74;76;70;41;22;19;23;12;12;9;3;;3907508002;3907508002
2000;39075;08;003;2;9;9;30;32;30;24;16;22;29;41;32;18;17;20;17;11;4;3;;;3907508003;3907508003
2000;39075;08;004;42;141;154;187;226;276;248;343;316;292;228;207;141;116;127;109;65;45;32;10;;3907508004;9
2000;39075;08;005;16;35;71;67;71;84;66;77;89;78;63;42;37;26;41;35;21;7;5;1;;3907508005;3907508005
2000;39075;08;006;4;14;22;24;40;50;64;54;34;37;25;50;44;24;29;16;14;7;3;1;;3907508006;3907508006
2000;39075;08;008;7;36;47;51;78;92;72;86;74;88;64;75;50;59;67;68;40;13;11;1;;3907508008;10
2000;39075;08;010;20;93;126;153;184;186;157;176;208;202;170;140;71;97;90;107;65;32;17;14;;3907508010;11
2000;39075;08;013;4;17;25;54;87;104;65;64;43;60;105;51;34;25;23;11;14;5;3;;;3907508013;3907508013
2000;39075;08;015;5;24;31;30;49;79;67;72;55;46;32;42;25;25;23;24;11;4;3;;;3907508015;3907508015
