ano;ciudad;dist;scensal;edad0;edad1;edad2;edad3;edad4;edad5;edad6;edad7;edad8;edad9;edad10;edad11;edad12;edad13;edad14;edad15;edad16;edad17;edad18;edad19;edad99;seccion;seccion_cluster
2000;39075;01;001;2;10;14;15;25;18;32;32;38;35;22;27;23;24;37;35;41;35;20;10;;3907501001;3907501001
2000;39075;01;002;2;16;12;22;29;27;24;29;39;39;37;38;28;31;39;49;38;33;22;11;;3907501002;3907501002
2000;39075;01;003;6;8;18;16;20;33;37;42;46;28;20;25;30;36;46;35;42;42;27;18;;3907501003;3907501003
2000;39075;01;004;3;10;10;21;21;19;29;33;39;41;30;29;21;26;36;46;40;33;28;10;;3907501004;3907501004
2000;39075;01;005;1;9;11;17;18;39;41;34;37;30;39;20;38;35;39;58;39;34;23;10;;3907501005;3907501005
2000;39075;01;006;1;10;19;20;33;41;38;28;57;54;42;31;21;22;47;43;38;34;22;8;;3907501006;3907501006
2000;39075;01;007;5;13;14;23;33;46;57;47;47;49;49;33;34;34;48;35;33;30;21;6;;3907501007;3907501007
2000;39075;01;008;3;16;16;28;41;46;39;47;42;56;37;37;31;25;43;48;50;34;22;8;;3907501008;3907501008
2000;39075;01;009;4;23;19;28;35;45;61;61;55;58;48;48;36;39;67;56;50;53;35;14;;3907501009;1
2000;39075;01;010;3;7;13;16;22;26;33;38;43;28;26;26;14;25;24;39;32;16;12;19;;3907501010;3907501010
2000;39075;02;001;;2;17;14;41;61;56;23;24;27;51;59;39;30;25;27;13;13;5;2;;3907502001;3907502001
2000;39075;02;002;;14;16;17;22;33;42;38;40;39;30;26;16;32;29;37;26;26;9;15;;3907502002;3907502002
2000;39075;02;003;5;11;26;32;43;52;59;48;49;52;59;42;35;40;52;42;35;30;17;10;;3907502003;3907502003
2000;39075;02;004;4;11;19;16;35;46;47;33;41;45;55;32;31;28;45;48;29;21;28;6;;3907502004;3907502004
2000;39075;02;005;9;15;22;34;60;75;80;63;54;68;72;64;58;39;64;49;48;27;19;7;;3907502005;3907502005
2000;39075;02;006;2;12;22;36;50;71;61;48;44;68;66;69;53;49;44;52;41;28;19;12;;3907502006;3907502006
2000;39075;02;007;3;9;14;14;24;51;47;42;41;33;31;44;26;32;39;31;30;24;13;7;;3907502007;3907502007
2000;39075;02;008;6;13;18;23;32;35;32;30;44;59;36;19;29;20;49;79;72;44;22;13;;3907502008;3907502008
2000;39075;02;009;2;6;8;11;34;22;31;32;40;20;32;36;22;28;42;51;39;36;20;4;;3907502009;3907502009
2000;39075;02;010;3;12;16;19;32;55;52;29;46;49;57;64;44;36;45;44;40;30;19;7;;3907502010;3907502010
2000;39075;02;011;6;9;6;11;28;39;48;37;29;24;37;32;40;32;43;34;25;18;6;5;;3907502011;3907502011
2000;39075;02;012;4;9;16;20;31;42;53;33;37;39;33;32;39;30;61;56;32;31;13;7;;3907502012;3907502012
2000;39075;02;013;6;16;24;33;48;60;52;57;48;70;54;57;46;44;55;65;41;29;23;7;;3907502013;3907502013
2000;39075;02;014;5;24;35;67;87;107;75;52;65;118;104;89;56;47;34;36;26;53;52;38;;3907502014;2
2000;39075;02;015;;8;8;16;19;36;23;28;33;20;24;38;25;16;36;29;25;24;19;8;;3907502015;3907502015
